Word,korean_definition,english_definition,example_sentence,korean_translation,synonyms,antonyms,IELTS_score,GMAT_score
scrutiny,정밀한 조사 또는 철저한 검토,Close and thorough examination or inspection,The company's financial records were subjected to intense scrutiny by the auditors.,회사의 재무 기록은 감사관들에 의해 철저한 조사를 받았다.,"examination, inspection, analysis","neglect, ignorance",High relevance for tasks related to critical analysis or report evaluation.,Moderate relevance for verbal reasoning and analytical writing assessments.
rot,"썩다, 부패하다",To decay or decompose due to bacteria or fungi.,The apples began to rot after a few weeks in storage.,사과는 저장한 지 몇 주 후에 썩기 시작했다.,"decay, decompose, putrefy","preserve, maintain, save",Medium relevance for environmental or biological topics.,"Low relevance, rarely used in business context."
scuttle,"서둘러 달리다, 작은 구멍을 뚫다, 계획을 망치다","to move quickly and hurriedly, to sink a ship by creating holes, to deliberately ruin a plan",The mouse scuttled across the room to avoid the cat.,쥐가 고양이를 피하기 위해 방을 빠르게 가로질러 달렸다.,"dash, hasten, wreck","restore, support, delay",4,3
rotate,"회전하다, 돌다",To turn around a central point or axis.,The Earth rotates on its axis every 24 hours.,지구는 24시간마다 축을 중심으로 회전한다.,"spin, turn, revolve","still, stationary",High relevance for describing processes or movements.,Moderate relevance for logical reasoning and geometry.
seamless,"이음새가 없는, 매끄러운",smooth and without any interruptions or gaps,The transition between the scenes was seamless.,장면 간의 전환이 매끄러웠다.,"smooth, flawless, perfect","rough, fragmented, disjointed",High relevance for describing processes or transitions,Moderate relevance for analytical writing and logical descriptions
roughly,"대략적으로, 대충","approximately, not exactly or precisely",The project was roughly completed by the deadline.,그 프로젝트는 마감일까지 대략적으로 완료되었다.,"approximately, around, about","exactly, precisely",High relevance in Listening and Writing sections,Moderate relevance in Reading Comprehension and Analytical Writing
secession,"분리, 탈퇴 (특히 정치적 단체나 국가로부터의 탈퇴를 의미함)","The act of formally withdrawing from an organization, alliance, or political entity.",The southern states initiated secession from the Union in the 1860s.,남부 주들은 1860년대에 연방으로부터 탈퇴를 시작했다.,"withdrawal, separation, disunion","union, integration, association",Moderate relevance for topics related to social or political systems.,Low relevance; may appear in reading comprehension or critical reasoning sections.
route,"길, 경로, 루트",A way or course taken to get from a starting point to a destination.,The bus follows a specific route through the city.,버스는 도시를 가로지르는 특정 경로를 따라 이동한다.,"path, track, way","blockage, dead-end",High relevance for topics in transportation or travel.,Moderate relevance for problem-solving related to logistics or planning.
secluded,"외딴, 한적한",isolated or hidden away from others,"The cabin is secluded in the woods, far from any neighbors.",그 오두막은 숲 속에 외딴 곳에 위치해 있어 이웃과 멀리 떨어져 있다.,"isolated, remote, hidden","accessible, open, public",Medium relevance for describing places or environments,Low relevance; rarely used in business contexts
secrete,"분비하다, 비밀리에 감추다","To produce and discharge a substance, typically from a cell or gland; to conceal or hide something secretly.",Certain glands in the human body secrete hormones essential for growth.,사람 몸의 특정 샘은 성장에 필수적인 호르몬을 분비한다.,"produce, emit, discharge","absorb, retain",7,6
routine,"일상적으로 반복되는 일, 규칙적인 활동",A sequence of actions regularly followed; a fixed program,She followed her morning routine of exercise and meditation.,그녀는 운동과 명상의 아침 일과를 따랐다.,"habit, practice, schedule","irregularity, spontaneity, disorder",Moderate relevance in writing and speaking sections,Low relevance but may appear in reading comprehension
secular,"종교적이지 않거나 세속적인 것을 뜻하며, 종교와 관련이 없는 상태를 나타냄.",Not connected with religious or spiritual matters; worldly rather than spiritual.,The secular government does not promote any religious doctrines.,세속적인 정부는 어떤 종교적 교리를 홍보하지 않는다.,"non-religious, worldly, temporal","religious, spiritual, sacred",High relevance for vocabulary section (Band 7-9).,Medium relevance for reading comprehension and critical reasoning.
rudimentary,"기초적인, 초보적인","basic, elementary, or fundamental; involving only the simplest aspects",The rudimentary tools were sufficient to complete the task.,기초적인 도구들은 작업을 완료하기에 충분했다.,"basic, elementary, fundamental","advanced, complex, sophisticated","Medium relevance in IELTS, especially in writing and reading sections.","Low relevance in GMAT, appears occasionally in verbal reasoning."
secure,"안전하게 하다, 보호하다, 확실하게 하다","To make safe, protect, or ensure.",She worked hard to secure a better future for her family.,그녀는 가족을 위해 더 나은 미래를 확보하려고 열심히 노력했다.,"protect, defend, ensure, lock, guarantee","endanger, risk, insecure, expose",High relevance for writing and speaking sections.,Moderate relevance for reading comprehension and critical reasoning.
rugged,거칠고 튼튼한; 험난한,"Having a rough, uneven surface or being sturdy and durable; harsh or challenging conditions",The rugged mountains made the journey difficult for the travelers.,험난한 산맥은 여행자들에게 여정을 어렵게 만들었다.,"rough, durable, sturdy","smooth, delicate, fragile",6.5,7
sedate,"차분한, 진정된; 진정시키다","calm, composed; to calm or tranquilize",The nurse used medication to sedate the anxious patient.,간호사가 불안한 환자를 진정시키기 위해 약물을 사용했다.,"calm, tranquil, soothe","agitate, excite, disturb",Medium relevance,Low relevance
ruminant,"되새김질을 하는 동물을 지칭하거나, 되새김질하는 습성을 가진 것을 의미함",An animal that chews cud and has a stomach divided into four compartments; also refers to someone who ponders or reflects deeply.,Cows are ruminants that spend hours chewing their cud.,소는 되새김질을 하며 오랜 시간 동안 되새김질을 하는 동물이다.,"cud-chewing animal, reflective thinker",,Medium,Low
sediment,물이나 공기 중에 떠다니던 입자가 가라앉아 쌓인 물질,Matter that settles to the bottom of a liquid; dregs.,Rivers carry sediment from the mountains to the ocean.,강은 산에서 바다까지 침전물을 운반한다.,"deposit, residue, silt",,High relevance in topics related to environmental science and geology,Moderate relevance in reading comprehension passages discussing natural processes
rupture,"파열, 터짐, 갈라짐","a sudden break or burst, especially of something hollow or containing pressure.",The rupture of the pipe caused severe flooding in the basement.,배관의 파열로 인해 지하실에 심각한 홍수가 발생했다.,"break, burst, fracture","repair, fix, seal",Medium relevance in context of science and engineering,Low relevance
segment,"부분, 단편, 조각","a part or section of something, especially a divided piece",The company decided to segment the market into smaller groups.,회사는 시장을 더 작은 그룹으로 분할하기로 결정했다.,"section, piece, division","whole, complete, entirety",5,5
segregation,"분리, 격리; 특히 인종, 성별, 종교 등에 따른 사회적 차별과 분리","The action or state of setting someone or something apart from others, often referring to social or racial separation.",Segregation was a significant issue during the civil rights movement in the United States.,분리는 미국 시민권 운동 동안 중요한 문제였습니다.,"separation, isolation, division","integration, unity, inclusion",High relevance in topics about social issues or history.,Moderate relevance primarily in reading comprehension passages about social dynamics.
seismic,지진 또는 지질학적 활동과 관련된,Relating to earthquakes or other geological vibrations.,The seismic activity in the region has increased significantly over the past year.,그 지역의 지진 활동이 지난 해 동안 상당히 증가했다.,"geological, tectonic, earthquake-related",,Moderate relevance for academic and technical topics.,Low relevance; rarely used in business contexts.
seize,"붙잡다, 체포하다, 점령하다, 압류하다",To take hold of suddenly and forcibly; to capture or take possession of something.,The police managed to seize the stolen goods during the raid.,경찰은 급습 중에 도난당한 물품을 압수하는 데 성공했다.,"capture, grasp, confiscate","release, free, relinquish",High relevance in reading and writing sections.,Moderate relevance in verbal and analytical writing sections.
sabbatical,"안식년, 학문 연구나 자기 계발을 위해 휴가를 가지는 기간","A period of paid leave granted to a worker for study or travel, traditionally every seven years.",She decided to take a sabbatical to focus on writing her book.,그녀는 책을 쓰는 데 집중하기 위해 안식년을 가지기로 결정했다.,"leave, break, hiatus",,"Moderate relevance, often used in contexts related to work-life balance or academic discussions.","Low relevance, occasionally used in reading comprehension or business context."
semantic,"의미론적인, 단어의 의미와 관련된",Relating to meaning in language or logic.,The semantic differences between the two phrases were subtle but significant.,두 구문 사이의 의미론적 차이는 미묘하지만 중요한 것이었다.,"meaningful, linguistic, interpretive",,5,4
sacred,"신성한, 종교적 의미로 신에게 바쳐진",worthy of religious veneration; holy or dedicated to a deity,The ancient temple is considered sacred by the local community.,그 고대 사원은 지역 사회에 의해 신성한 것으로 여겨진다.,"holy, divine, sacrosanct","profane, secular, mundane",high relevance in discussing religious or cultural topics,moderate relevance in reading comprehension or critical reasoning
semblance,"외견, 겉모습 또는 유사함","The outward appearance or apparent form of something, especially when the reality is different.",There was a semblance of order despite the chaos surrounding the event.,그 행사를 둘러싼 혼란에도 불구하고 겉보기에는 질서가 있었다.,"appearance, guise, pretense","reality, truth",Moderate relevance for vocabulary section,Low relevance for verbal reasoning section
semiconductor,"전기가 잘 통하지 않는 물질과 잘 통하는 물질의 중간 성질을 가진 물질로, 전자기기의 핵심 부품으로 사용된다.","A material that has electrical conductivity between that of a conductor and an insulator, widely used in electronic devices.",Silicon is one of the most commonly used materials for semiconductors.,실리콘은 반도체로 가장 일반적으로 사용되는 물질 중 하나이다.,"chip, microprocessor, integrated circuit",,Low relevance for IELTS as it is a technical term.,"Medium relevance for GMAT, especially in technological contexts."
sacrifice,"희생, 자신을 포기하거나 다른 사람이나 목적을 위해 내놓는 것",An act of giving up something valued for the sake of someone else or for a greater cause,She made a great sacrifice to ensure her children could attend college.,그녀는 자녀들이 대학에 갈 수 있도록 큰 희생을 치렀다.,"offering, dedication, selflessness","selfishness, gain, greed",High,Moderate
saga,긴 이야기 또는 역사적 사건을 다룬 서사,"A long story or narrative, often involving heroic deeds or historical events",The saga of the ancient Viking warriors is both fascinating and inspiring.,고대 바이킹 전사들의 서사는 매력적이고 영감을 준다.,"epic, chronicle, legend",,Moderate relevance for vocabulary in storytelling or historical context,"Low relevance, rarely used in GMAT contexts"
sensational,선풍적인; 사람들의 큰 관심을 끄는,Causing great public interest and excitement,The movie received sensational reviews from critics.,그 영화는 평론가들로부터 선풍적인 호평을 받았다.,"thrilling, exciting, astonishing","ordinary, boring, dull",6,4
sensationalism,사람들의 관심을 끌기 위해 지나치게 과장하거나 선정적으로 표현하는 행위 또는 태도.,"The use of exciting or shocking stories or language at the expense of accuracy, in order to provoke public interest or excitement.",The media was accused of sensationalism after exaggerating the details of the incident.,언론은 사건의 세부사항을 과장했다는 이유로 선정주의라는 비난을 받았다.,"exaggeration, dramatization, hyperbole","objectivity, accuracy, restraint",5,4
salvation,"구원, 구조","Preservation or deliverance from harm, ruin, or loss.",The man found salvation in his faith during difficult times.,그 남자는 어려운 시기에 그의 신앙에서 구원을 찾았다.,"redemption, deliverance, rescue","damnation, despair, loss",7,6
sentence,"문장, 글의 구성 요소로 단어들이 모여 이루어진 의미 있는 단위",A set of words that are arranged to convey a complete thought or idea.,The judge sentenced the criminal to ten years in prison.,판사가 범죄자에게 10년 형을 선고했다.,"phrase, statement, clause","fragment, word, silence",High relevance for writing and speaking sections.,Moderate relevance for reading comprehension and verbal reasoning.
separate,"나누다, 분리하다",to divide or keep apart from others,The teacher asked the students to separate into small groups.,선생님은 학생들에게 작은 그룹으로 나뉘라고 요청했다.,"divide, split, detach","combine, connect, join",High relevance for discussing processes or organizational contexts,Moderate relevance in logical reasoning or problem-solving scenarios
sequel,속편 또는 후속작,"A work, such as a book or movie, that continues the story or develops the theme of an earlier work.",The movie's sequel was even more successful than the original.,그 영화의 속편은 원작보다 더 큰 성공을 거두었다.,"continuation, follow-up, successor",,Medium relevance in context of vocabulary for storytelling or literature topics.,"Low relevance, primarily used in reading comprehension passages."
sequence,"연속적인 사건, 숫자, 움직임 등이 특정한 순서로 배열된 것","A set of related events, actions, or things arranged in a particular order",The DNA sequence determines the genetic code of an organism.,DNA 서열은 생물체의 유전 암호를 결정합니다.,"order, series, progression","disorder, chaos, randomness",High relevance for academic vocabulary in reading and writing sections,Moderate relevance for logical reasoning and quantitative analysis
serene,고요하고 평화로운 상태,"calm, peaceful, and untroubled",The lake looked serene under the soft glow of the morning sun.,호수는 아침 햇살의 부드러운 빛 아래 고요해 보였다.,"calm, peaceful, tranquil","chaotic, disturbed, agitated",6.5,5.0
serpent,"뱀, 특히 큰 뱀 또는 전설 속의 뱀","A snake, especially a large one or a mythical serpent.",The serpent slithered silently through the dense forest.,그 뱀은 울창한 숲을 조용히 기어갔다.,"snake, viper, python",,Medium,Low
sever,"자르다, 절단하다, 단절하다",to cut off completely or to break apart,The storm severed the power lines in the village.,폭풍이 마을의 전력선을 절단했다.,"cut, detach, divide","join, connect, attach",5,4
severe,"심각하거나, 엄격하거나, 극단적인 상태를 나타내는 단어","Extremely bad, serious, or harsh in degree or nature",The storm caused severe damage to the coastal areas.,그 폭풍은 해안 지역에 심각한 피해를 입혔다.,"harsh, serious, grave","mild, gentle, lenient",High relevance for describing situations or conditions,Moderate relevance for analytical writing or critical reasoning
sewage,"하수, 오물 또는 폐수를 의미하며 보통 배수로를 통해 배출되는 물질",waste water and excrement conveyed in sewers,The city is working on upgrading its sewage system to prevent flooding.,도시는 홍수를 방지하기 위해 하수 시스템을 개선하고 있다.,"wastewater, effluent, drainage",,Low to Medium relevance,Low relevance
shallow,"얕은, 깊지 않은",not deep; lacking depth of thought or knowledge,The water in the lake is shallow near the shore.,호숫가 근처의 물은 얕습니다.,"superficial, surface-level, depthless","deep, profound, thoughtful",Medium relevance for IELTS reading and writing sections.,Low relevance for GMAT verbal and analytical writing sections.
shaman,"샤먼, 주술사로서 영적 존재와 소통하며 치유나 예언을 하는 사람","A person regarded as having access to, and influence in, the world of spirits, typically through rituals and trance.",The shaman performed a ritual to communicate with the spirits.,샤먼은 영혼들과 소통하기 위해 의식을 수행했다.,"spiritualist, healer, medicine-man",,Moderate relevance due to cultural and spiritual topics.,Low relevance as it is unlikely to appear in business-related contexts.
shard,"조각, 파편","A small piece or fragment, typically of a brittle material like glass or pottery.",She picked up a shard of broken glass from the floor.,그녀는 바닥에서 깨진 유리 조각을 주웠다.,"fragment, splinter, piece",,Low relevance,Low relevance
shed,"1. 헛간, 작은 창고 2. (물건 등을) 버리다, 없애다 3. (빛, 눈물 등을) 발산하다, 흘리다","1. A small building used for storage 2. To discard or get rid of something 3. To emit or release something, such as light or tears",The old tree shed its leaves every autumn.,그 오래된 나무는 매년 가을에 잎을 떨어뜨렸다.,"discard, release, emit","retain, keep, absorb",High relevance for vocabulary in writing and speaking tasks,Moderate relevance for reading comprehension and analytical writing
shelter,"피난처, 주거지를 제공하거나 보호하는 장소","A place that provides protection or cover, often for safety or refuge.","During the storm, many people sought shelter in the community center.",폭풍이 치는 동안 많은 사람들이 지역센터에서 피난처를 찾았다.,"refuge, sanctuary, haven","exposure, danger, vulnerability","Moderate relevance for topics like housing, environment, or social issues.","Low relevance, mostly applicable in reading comprehension or ethical discussions."
shelve,"보류하다, 연기하다 또는 선반에 올려놓다","To postpone, delay, or place on a shelf",The manager decided to shelve the project due to budget constraints.,관리자는 예산 문제로 인해 프로젝트를 보류하기로 결정했다.,"postpone, delay, defer","continue, proceed, resume",Moderate relevance for academic writing and discussions,"Low relevance, mainly useful in reading comprehension"
shimmer,"희미하게 반짝이다, 아른거리다","to shine with a soft, wavering light",The surface of the lake shimmered under the moonlight.,호수의 수면이 달빛 아래에서 아른거렸다.,"gleam, glimmer, sparkle","dull, darken, fade",5,3
shoplifter,상점에서 물건을 훔치는 사람,a person who steals goods from a shop without paying for them,The shoplifter was caught trying to hide expensive electronics in his bag.,그 도둑은 비싼 전자제품을 가방에 숨기려다 잡혔다.,"thief, burglar, crook",,"Medium relevance in IELTS, especially for vocabulary related to crime and law.","Low relevance in GMAT, rarely used in business or analytical contexts."
shrine,신성한 장소 또는 신사,A sacred place or temple dedicated to a deity or a revered figure,The pilgrims visited the ancient shrine to pay their respects.,순례자들은 존경을 표하기 위해 고대 신사를 방문했다.,"temple, sanctuary, altar",,Moderate relevance for cultural and historical topics,Low relevance in GMAT contexts
shrink,"줄어들다, 수축하다, 작아지다","to become smaller in size, amount, or value; to contract or decrease",The sweater will shrink if you wash it in hot water.,그 스웨터는 뜨거운 물에 세탁하면 줄어들 것이다.,"contract, diminish, reduce","expand, grow, increase",Moderate relevance in describing changes or trends,"Low relevance, occasionally used in problem-solving contexts"
side,"옆면, 한쪽, 측면","a position or area to the left or right of an object, place, or central point",She stood by his side throughout the entire ordeal.,그녀는 그가 힘든 일을 겪는 내내 그의 곁에 있었다.,"flank, edge, aspect","center, middle",Medium,Low
effect,어떤 결과를 일으키거나 영향을 미침,A change that is a result or consequence of an action or other cause,The new policy had a positive effect on the economy.,새로운 정책은 경제에 긍정적인 영향을 미쳤다.,"impact, influence, result",cause,High relevance in vocabulary for academic and general training modules,Moderate relevance in reading comprehension and analytical writing sections
sightseeing,관광 또는 명소를 둘러보는 활동,The activity of visiting places of interest in a particular area,We spent the afternoon sightseeing in Paris.,우리는 오후를 파리에서 관광하며 보냈다.,"touring, traveling, exploring",,"Moderate relevance, commonly used in speaking and writing sections","Low relevance, rarely used in verbal or reading comprehension sections"
signal,신호; 어떤 정보를 전달하거나 경고를 주기 위해 보내는 표시나 징후,"A gesture, action, or sound used to convey information or instructions.","The traffic light turned green, which was a signal for cars to move.","신호등이 초록불로 바뀌었고, 이것은 차들이 움직이라는 신호였다.","sign, indicator, cue","noise, disruption",5,4
significant,"중요한, 의미 있는, 커다란 영향을 미치는","important, meaningful, having a major influence",The discovery of the vaccine was a significant breakthrough in medical science.,백신의 발견은 의학 과학에서 중요한 돌파구였다.,"important, meaningful, notable, substantial, remarkable","insignificant, trivial, unimportant","High relevance, particularly for writing and speaking sections.","Moderate relevance, often used in reading comprehension and critical reasoning questions."
silt,하천이나 호수 바닥에 퇴적된 미세한 흙이나 모래,"Fine particles of sand, clay, or other material carried by water and deposited as sediment",The river was clogged with silt after the heavy rains.,강은 폭우 이후 미세한 퇴적물로 막혀 있었다.,"sediment, mud, deposit",,"Relevant for environmental vocabulary, Band 6-9",Low relevance unless used metaphorically in reading comprehension
simile,"직유, 두 가지를 비교할 때 'like'나 'as'를 사용하는 표현",A figure of speech comparing two unlike things using 'like' or 'as',Her smile was as bright as the sun.,그녀의 미소는 태양처럼 밝았다.,"comparison, analogy",,High,Medium
simulate,"모방하다, 흉내내다, 특정 조건을 재현하다","to imitate or replicate the appearance, behavior, or conditions of something",The software is designed to simulate real-world driving conditions.,그 소프트웨어는 실제 운전 조건을 모방하도록 설계되었습니다.,"imitate, replicate, emulate","genuine, authentic, real",High relevance in academic contexts related to technology and science.,Moderate relevance in analytical and business problem-solving contexts.
simultaneously,"동시에, 같은 시간에","At the same time, occurring together",The two events happened simultaneously despite their differences.,그 두 사건은 차이에도 불구하고 동시에 발생했다.,"concurrently, at once, together",,Commonly used in listening and writing tasks,Occasionally appears in reading comprehension or analytical writing
singularity,"특이점, 일반적인 상태와 다른 점; 과학에서는 기술적 특이점으로 사용되며, 인공지능이 인간 지능을 초월하는 순간을 의미하기도 함","A point of uniqueness or peculiarity; In science, often refers to technological singularity when artificial intelligence surpasses human intelligence",The concept of singularity challenges our understanding of human evolution and technology.,특이점이라는 개념은 인간의 진화와 기술에 대한 우리의 이해를 도전한다.,"uniqueness, peculiarity, exceptionality",,High relevance for advanced vocabulary in academic writing and discussion topics.,Moderate relevance for analytical writing and critical reasoning.
site,"장소, 위치, 웹사이트를 포함한 특정 지점 또는 구역","A specific location or area, including a physical place or a website",The construction site was busy with workers and machines.,건설 현장은 노동자들과 기계로 바쁘게 움직이고 있었다.,"location, place, spot","nonplace, void",High relevance for academic topics and technology contexts,Moderate relevance for business and management scenarios
situate,"위치시키다, 놓다",to place or position something in a particular location or context,The architect decided to situate the building near the river.,건축가는 그 건물을 강 근처에 위치시키기로 결정했다.,"place, position, locate",,Medium,Low
skeptical,의심이 많거나 확신이 부족한 상태,having doubt or a lack of trust in something,She was skeptical about the accuracy of the report.,그녀는 그 보고서의 정확성에 대해 의심스러워했다.,"doubtful, suspicious, cynical","trustful, convinced, confident",Highly relevant for expressing opinions or discussing uncertainties.,Relevant for critical reasoning and argument evaluation.
slanted,기울어진 또는 편향된,Positioned or directed at an angle; biased or not impartial,The article presented a slanted view of the political situation.,그 기사는 정치 상황에 대한 편향된 관점을 제시했다.,"biased, angled, tilted","neutral, straight, impartial",Moderate relevance for vocabulary in writing and reading sections,"Low relevance, mostly applicable in critical reasoning and reading comprehension"
slay,"살해하다; (속어) 멋지게 해내다, 압도적으로 성공하다",To kill someone; (slang) to do something impressively or exceptionally well,She slayed the performance with her incredible vocals.,그녀는 놀라운 가창력으로 공연을 압도적으로 성공시켰다.,"kill, murder, excel, dominate","save, fail, struggle",Low relevance,Low relevance
sleek,"매끄럽고 세련된, 윤이 나는","smooth, stylish, and polished in appearance or manner",The car's sleek design attracted everyone's attention.,그 자동차의 매끄러운 디자인은 모두의 시선을 끌었다.,"smooth, polished, elegant",,5,3
sleet,비와 눈이 섞여 내리는 현상,Precipitation consisting of a mixture of rain and snow,The forecast predicts sleet for the afternoon.,일기 예보는 오후에 진눈깨비가 내릴 것을 예측합니다.,rain-snow mix,,Moderate,Low
slope,"기울기, 경사 또는 경사진 면",an inclined surface or a measure of steepness of a line or surface,The slope of the hill made it challenging to climb.,그 언덕의 경사는 오르기에 어려움을 주었다.,"incline, gradient, pitch","flatness, level",Medium,Medium
sludge,"점액질, 진흙 또는 폐수에서 나오는 찌꺼기","Thick, viscous, or muddy substance, often referring to waste material from water or industrial processes.",The factory's waste pipes were clogged with sludge.,공장의 폐수관이 진흙 찌꺼기로 막혀 있었다.,"mud, goo, sediment",,6,3
slumber,"잠, 깊게 자지 않는 상태","A state of sleep, especially light sleep.",She fell into a peaceful slumber after a long day.,그녀는 긴 하루 뒤에 평화로운 잠에 빠졌다.,"sleep, doze, nap","wakefulness, alertness",Moderate relevance for vocabulary section,Low relevance for verbal section
subsidy,정부나 단체가 특정 목적을 위해 제공하는 보조금 또는 지원금,A financial aid or support provided by the government or an organization for a specific purpose.,The government provided a subsidy to farmers to help them cope with rising costs.,정부는 농부들이 증가하는 비용을 감당할 수 있도록 보조금을 제공했다.,"grant, aid, support","tax, charge, penalty",High relevance for writing and speaking sections discussing economics or public policy.,Medium relevance for quantitative and verbal sections involving financial or economic contexts.
smuggle,물건이나 사람을 불법적으로 은밀히 이동시키다,To move goods or people illegally and secretly,The gang tried to smuggle drugs across the border.,그 갱단은 국경을 넘어 마약을 밀수하려고 시도했다.,"traffic, bootleg, sneak",,Moderate relevance in topics related to crime or illegal activities.,Low relevance unless appearing in specific reading comprehension contexts.
stagger,"비틀거리다, 휘청거리다; 충격을 주다, 깜짝 놀라게 하다","To move unsteadily, as if about to fall; to shock or amaze someone.",He began to stagger after drinking too much alcohol.,그는 술을 너무 많이 마신 후 비틀거리기 시작했다.,"totter, stumble, reel","walk, stride, stabilize",Moderate relevance in describing movement or reactions.,"Low relevance, rarely used in business or analytical contexts."
stagnant,"정체된, 흐르지 않는, 발전이 없는 상태",Not flowing or moving; inactive or not developing,The economy remained stagnant despite government efforts to stimulate growth.,정부의 성장 촉진 노력에도 불구하고 경제는 여전히 정체되어 있었다.,"still, inactive, motionless","active, flowing, dynamic",High relevance for economic and environmental topics,Moderate relevance for business and trade contexts
subsist,최소한의 자원으로 생존하거나 살아가다,"to maintain or support oneself, especially at a minimal level",Many were forced to subsist on minimal food supplies during the drought.,많은 사람들이 가뭄 동안 최소한의 식량으로 생존해야 했다.,"survive, exist, endure","thrive, flourish, prosper",6.5,5
snare,"덫, 올가미 또는 함정","a trap for catching animals, or a situation that is difficult to escape from",The hunter set a snare to catch the rabbit.,사냥꾼은 토끼를 잡기 위해 덫을 설치했다.,"trap, entanglement, net","freedom, liberation, release",Low relevance,Low relevance
soak,"액체에 담그다, 흠뻑 적시다",To immerse in liquid; to saturate or absorb completely,She soaked the clothes in warm water to remove the stains.,그녀는 얼룩을 제거하기 위해 옷을 따뜻한 물에 담갔다.,"immerse, drench, saturate","dry, dehydrate",Moderate relevance in reading and listening sections,Low relevance but may appear in reading comprehension
stammer,"말을 더듬다, 말을 더듬으며 말하다","To speak with involuntary pauses or repetitions, often due to nervousness or speech impediment.",He began to stammer when he was asked a difficult question.,그는 어려운 질문을 받았을 때 말을 더듬기 시작했다.,"stutter, hesitate, falter",,Moderate relevance in speaking and vocabulary sections.,Low relevance in the verbal section.
substitute,"대신하다, 대체하다",to replace or take the place of someone or something,The coach decided to substitute the injured player with a healthier one.,코치는 부상당한 선수를 더 건강한 선수로 교체하기로 결정했다.,"replace, exchange, swap","retain, keep",High relevance for tasks involving replacement concepts,Moderate relevance in logical reasoning or quantitative sections
subterranean,"지하의, 지하에 존재하는","Existing, occurring, or operating beneath the surface of the earth.",The ancient city had a vast subterranean network of tunnels.,고대 도시는 광대한 지하 터널 네트워크를 가지고 있었다.,"underground, belowground, hidden","surface, aboveground",Moderate relevance for advanced vocabulary contexts,Low relevance unless used in reading comprehension passages
soar,"높이 날다, 급격히 증가하다",to fly or rise high in the air; to increase rapidly or suddenly,The eagle soared gracefully above the mountains.,독수리가 산 위로 우아하게 날아올랐다.,"fly, ascend, rise, climb","fall, descend, plunge, drop",6.5,5.0
stand,어떤 위치에 서다 또는 특정 상태를 유지하다,To be in an upright position or to maintain a certain state,She decided to stand up for her beliefs despite the opposition.,그녀는 반대에도 불구하고 자신의 신념을 지키기로 결심했다.,"upright, endure, remain","fall, collapse, yield",High relevance for speaking and writing sections,Moderate relevance for reading comprehension
for,무엇을 위한; ~을 위해,"used to indicate purpose, intended recipient, or duration",This gift is for you.,이 선물은 당신을 위한 것입니다.,"towards, to, in favor of",,High relevance in task instructions and opinion essays,Moderate relevance in reading comprehension and critical reasoning
subtext,"숨겨진 의미, 행간의 뜻","An underlying or implicit meaning in a text, speech, or conversation.",The subtext of his speech hinted at his dissatisfaction with the current policy.,그의 연설의 숨겨진 의미는 현재 정책에 대한 그의 불만을 암시했다.,"undertone, implicit meaning, hidden message",,Medium relevance for reading and writing sections.,Low relevance but useful for critical reasoning and comprehension.
sojourn,"일시적으로 머무는 것, 체류",A temporary stay at a place.,"During his sojourn in Paris, he visited several art galleries.",그가 파리에서 머무는 동안 여러 미술관을 방문했다.,"stay, visit, residence","departure, absence, migration",Medium relevance for vocabulary in writing and speaking sections.,Low relevance for business-related vocabulary.
staple,"주된, 주요한; 기본 식료품 또는 필수품",A main or important element of something; a basic food or essential item,Rice is a staple food in many Asian countries.,쌀은 많은 아시아 국가에서 주요 식품이다.,"essential, fundamental, basic","nonessential, secondary, optional",High relevance for academic and general contexts,Moderate relevance for business and analytical contexts
subtle,"미묘한, 알아차리기 어려운",Delicate or precise as to be difficult to analyze or describe.,Her subtle hint went unnoticed by everyone.,그녀의 미묘한 암시는 모두에게 눈치채지 못했다.,"delicate, nuanced, refined",,High relevance in writing and speaking for describing complex ideas.,Moderate relevance for logical reasoning questions.
solar,"태양의, 태양과 관련된",relating to or coming from the sun,Solar panels are used to convert sunlight into electricity.,태양광 패널은 햇빛을 전기로 변환하는 데 사용된다.,"sun-powered, photovoltaic, heliacal",,6,5
ueuu,해당 단어는 존재하지 않음,The term 'ueuu' does not have a recognized definition or meaning in English,The word 'ueuu' does not appear in standard English usage.,'ueuu'라는 단어는 표준 영어 사용에서 나타나지 않습니다.,,,N/A,N/A
starch,녹말; 식물에서 생성되는 복합 탄수화물로 에너지 저장의 주요 형태,a complex carbohydrate produced by plants as a primary form of energy storage,Starch is commonly used as a thickening agent in cooking.,녹말은 요리에서 흔히 사용되는 점증제입니다.,"carbohydrate, polysaccharide",,Medium,Low
xUgk,제공된 단어 'xUgk'는 의미를 알 수 없는 임의의 단어입니다.,The given word 'xUgk' is an arbitrary word with no recognized meaning.,The word xUgk does not exist in any dictionary.,'xUgk'라는 단어는 어떤 사전에도 존재하지 않습니다.,,,0,0
succeed,"성공하다, 이어받다",To achieve success or to follow in sequence.,She worked hard and managed to succeed in her career.,그녀는 열심히 노력했고 그녀의 경력에서 성공하는 데 성공했다.,"achieve, triumph, prosper","fail, fall, lose",High relevance for academic and professional contexts.,Medium relevance for business and managerial contexts.
solicit,"간청하다, 요청하다",to ask for something in a formal or earnest way,The organization is soliciting donations to help the homeless.,그 단체는 노숙자를 돕기 위해 기부금을 요청하고 있다.,"request, ask, seek","reject, refuse, decline",6.5-8.0,Medium
